fid,p_a,count1,elev,year,near,tot,per_sf,per_lp,per_mc,per_as,per_pp,per_o
2,1,7,2081,2010,0,160000,0.06,0.19,0.31,0,0,0.44
6,1,4,1797,2010,0,130000,0.54,0.08,0.38,0,0,0
7,1,4,2409,2010,1903,160000,0,0,1,0,0,0
12,1,3,2536,2010,246,80000,0,0,1,0,0,0
13,1,3,1764,2010,0,80000,0,0,1,0,0,0
14,1,3,2043,2010,0,90000,0,0,1,0,0,0
23,1,2,1500,2010,153,160000,0.81,0,0.19,0,0,0
24,1,2,1728,2010,9255,130000,0,0,0.69,0,0,0.31
25,1,2,2835,2010,144,70000,0.29,0,0,0,0,0.71
26,1,2,1447,2010,12717,80000,0,0,1,0,0,0
27,1,2,1646,2010,1610,100000,1,0,0,0,0,0
28,1,2,2032,2010,0,60000,0,0,1,0,0,0
29,1,2,1903,2010,0,80000,0,0,1,0,0,0
30,1,2,1360,2010,3233,60000,0,0,1,0,0,0
31,1,2,1745,2010,69,60000,0,0,1,0,0,0
32,1,2,1829,2010,1913,60000,0,0,1,0,0,0
33,1,2,2536,2010,18,90000,1,0,0,0,0,0
34,1,2,2801,2010,71,150000,1,0,0,0,0,0
60,1,1,1912,2010,0,140000,0,0.64,0.21,0,0,0.14
61,1,1,1213,2010,1516,160000,0,0,1,0,0,0
62,1,1,853,2010,0,130000,0,0,1,0,0,0
63,1,1,1830,2010,0,100000,0.2,0.3,0.5,0,0,0
64,1,1,1882,2010,0,150000,0,0,0.73,0,0.27,0
65,1,1,2063,2010,0,60000,1,0,0,0,0,0
66,1,1,1463,2010,4314,70000,0,0,1,0,0,0
67,1,1,1864,2010,2085,60000,0,0,0.67,0,0,0.33
68,1,1,2568,2010,0,60000,0,0,1,0,0,0
69,1,1,2277,2010,1986,40000,0,0,1,0,0,0
70,1,1,2069,2010,4677,60000,0,0,1,0,0,0
71,1,1,1525,2010,2738,80000,0,0,1,0,0,0
72,1,1,1890,2010,1374,80000,0,0,1,0,0,0
73,1,1,1322,2010,1063,80000,0,0,1,0,0,0
74,1,1,2133,2010,3668,80000,0,0,1,0,0,0
75,1,1,1296,2010,1869,90000,0,0,1,0,0,0
76,1,1,1463,2010,47,50000,0,0,1,0,0,0
77,1,1,1951,2010,3408,60000,0,0,1,0,0,0
78,1,1,1793,2010,0,50000,0,0,1,0,0,0
79,1,1,1890,2010,0,120000,0,0.42,0.5,0,0,0.08
80,1,1,2628,2010,0,120000,0,0.08,0.92,0,0,0
296,0,0,2437,2010,4192,120000,0,0.92,0,0,0,0.08
310,0,0,2193,2010,0,20000,0,0,0.5,0,0,0.5
312,0,0,1976,2010,960,60000,0,0,0,0,0,1
228,0,0,2011,2010,2220,60000,0,0,1,0,0,0
280,0,0,1930,2010,991,140000,0,0,1,0,0,0
265,0,0,1541,2010,0,60000,0,0,1,0,0,0
204,0,0,1768,2010,6200,100000,0,0,1,0,0,0
315,0,0,2572,2010,0,50000,0,0,0,0,1,0
227,0,0,1524,2010,4468,90000,0,0,1,0,0,0
217,0,0,2501,2010,0,160000,0,0.63,0.38,0,0,0
317,0,0,1324,2010,11944,40000,0,0,0,0,0.75,0.25
192,0,0,1448,2010,0,150000,0,0,0.6,0,0.4,0
251,0,0,1812,2010,0,80000,0,0,1,0,0,0
303,0,0,2115,2010,0,100000,0,0.7,0,0,0,0.3
298,0,0,2293,2010,0,70000,0,0,0.43,0,0,0.57
291,0,0,3272,2010,743,70000,0,0.43,0,0,0,0.57
202,0,0,2052,2010,0,160000,0,1,0,0,0,0
287,0,0,2439,2010,0,60000,0.67,0.17,0,0,0,0.17
270,0,0,1037,2010,0,80000,0,0,0.25,0,0.13,0.63
333,0,0,1600,2010,0,100000,0,0,0,0,0.7,0.3
322,0,0,1634,2010,641,40000,0,0,0,0,0.25,0.75
172,0,0,1280,2010,0,150000,0,0,1,0,0,0
279,0,0,1430,2010,0,110000,0,0,0.18,0.45,0,0.36
197,0,0,1829,2010,0,100000,0,0.5,0,0,0,0.5
222,0,0,1295,2010,0,60000,0,0,1,0,0,0
257,0,0,1433,2010,4324,60000,0,0,0.83,0,0,0.17
278,0,0,2256,2010,0,130000,0,0,0.77,0,0,0.23
200,0,0,1961,2010,0,80000,0,0,0.75,0,0,0.25
281,0,0,1017,2010,5031,60000,0,0,0,0,1,0
294,0,0,2053,2010,0,60000,0,0,0,0,0,1
330,0,0,1699,2010,0,80000,0,0,0,0,1,0
289,0,0,2541,2010,0,90000,0,0.89,0,0,0,0.11
239,0,0,2805,2010,0,150000,0,0,1,0,0,0
176,0,0,1341,2010,0,80000,0,0,1,0,0,0
292,0,0,2804,2010,2624,160000,0,0.25,0.75,0,0,0
242,0,0,2016,2010,0,40000,0,0,0.75,0,0,0.25
243,0,0,1762,2010,0,70000,0,0,0.71,0,0,0.29
246,0,0,2218,2010,0,160000,0,0.06,0.88,0,0,0.06
272,0,0,1882,2010,18924,80000,0,0,1,0,0,0
15,1,3,2195,2011,0,100000,0,1,0,0,0,0
16,1,3,1890,2011,0,160000,0,0.75,0.19,0,0,0.06
35,1,2,1676,2011,0,120000,0,0.25,0.67,0,0.08,0
